customer_id,first_name,last_name,email,signup_date,region,acquisition_channel
34,John,Lee,ltaylor@example.com,2024-07-05,East,social
35,Steven,Baxter,ramosmichelle@example.net,2024-03-14,Central,social
36,Corey,Pearson,novaksara@example.org,2023-08-13,South,paid_search
37,Gabriel,Tucker,michellebarrera@example.org,2023-04-04,North,paid_search
38,Nicholas,Galloway,sara74@example.com,2023-06-06,South,email
39,Heather,Cross,smoore@example.org,2024-03-08,Central,email
40,Tanya,Riley,adkinsbrian@example.net,2024-01-26,Central,organic
41,Thomas,Calhoun,brianromero@example.org,2024-06-25,East,referral
42,Casey,Jones,richarddavid@example.net,2023-01-12,North,referral
43,John,Wheeler,barnesbrandy@example.net,2024-07-03,East,social
44,Leslie,Green,john62@example.net,2023-12-15,North,email
45,Debbie,Bryant,smithchristine@example.net,2023-06-11,West,organic
46,Wendy,Jones,williamanderson@example.com,2023-09-27,Central,organic
47,Nicole,Suarez,justin78@example.net,2024-06-03,North,email
48,Kevin,Riggs,contrerasangela@example.net,2023-11-02,Central,email
49,Dale,Humphrey,darrell18@example.org,2023-06-06,East,social
50,Joseph,Jacobs,james48@example.com,2024-07-06,Central,email
51,John,Odonnell,davisrodney@example.com,2024-09-05,East,referral
52,Bradley,Cook,danagreen@example.net,2023-04-25,East,paid_search
53,Scott,Thornton,rodriguezsierra@example.net,2023-11-11,South,email
54,Rebecca,Gardner,brandi26@example.org,2024-08-03,North,organic
55,Bobby,Diaz,nolanjason@example.org,2024-05-12,North,organic
56,Elizabeth,Gomez,vdickson@example.org,2024-06-29,South,referral
57,Sara,Young,theresacochran@example.com,2024-05-01,Central,organic
58,Angel,Doyle,kimberly63@example.com,2024-06-24,Central,organic
59,Erik,Haynes,ebrennan@example.org,2023-08-05,Central,paid_search
60,James,Sellers,kevin33@example.org,2024-12-07,South,email
61,Donna,Ross,michelle45@example.net,2024-02-13,East,social
62,William,Frazier,sheila14@example.org,2024-06-13,West,paid_search
63,Beverly,Terrell,rodriguezryan@example.net,2023-08-19,North,organic
64,Kristin,Graham,cruzbarbara@example.com,2024-08-25,Central,paid_search
65,Bradley,Graham,michaeljones@example.net,2023-08-14,North,organic
66,Samantha,Hanson,cortezkevin@example.com,2024-10-08,North,organic
67,Elizabeth,Nguyen,angela36@example.net,2023-02-02,East,organic
68,Shelby,Byrd,christinaturner@example.net,2023-09-01,East,organic
69,Martha,Torres,russellcarpenter@example.net,2023-08-08,Central,social
70,Marco,Ramos,williamleon@example.net,2024-08-07,Central,organic
71,Gene,Miller,clarence34@example.org,2024-04-29,West,paid_search
72,Lindsay,Hernandez,sanchezthomas@example.org,2023-04-10,West,organic
73,Stanley,Mercado,jennifercruz@example.com,2024-02-25,West,paid_search
74,John,Douglas,staffordmichelle@example.org,2023-02-25,North,email
75,Kimberly,Robinson,pwilliams@example.org,2023-12-14,North,organic
76,Stephen,Solis,stephanie79@example.net,2023-07-14,Central,organic
77,Patricia,Simmons,vmerritt@example.com,2024-03-08,South,paid_search
78,Shannon,Walton,katie87@example.net,2023-09-13,North,organic
79,John,Gonzales,jimmy55@example.net,2024-07-17,North,paid_search
80,Christopher,Hernandez,tbenson@example.org,2024-07-07,North,organic
81,Caleb,Russell,nperry@example.com,2023-08-31,South,referral
82,Perry,Carrillo,gateskathy@example.com,2024-05-07,South,paid_search
83,Thomas,Bender,karen68@example.net,2023-03-02,South,email
84,Jessica,Marsh,tracynelson@example.com,2024-02-04,East,paid_search
85,Anthony,Rogers,dramsey@example.org,2024-04-10,East,referral
86,Tina,Ferguson,qvargas@example.org,2024-07-23,West,paid_search
87,Christopher,Patterson,qwhite@example.com,2023-10-31,South,organic
88,Mark,Gibson,kathleen64@example.com,2024-08-16,Central,referral
89,Johnny,Miller,currybrett@example.com,2023-11-18,North,organic
90,Jeffrey,Jones,websterstefanie@example.org,2024-05-03,Central,organic
91,Mary,Howell,davidcaldwell@example.net,2024-06-27,South,referral
92,Stacie,Marshall,katie29@example.net,2024-06-04,North,organic
93,Tamara,Higgins,tamirodriguez@example.org,2023-03-12,Central,email
94,Sarah,Johnston,tsanders@example.org,2023-08-29,West,organic
95,Charles,Vaughn,curtisbarton@example.net,2024-08-06,South,organic
96,Caroline,Martinez,reedross@example.com,2023-02-10,Central,social
97,Casey,Holland,atkinsonlynn@example.org,2024-11-04,Central,organic
98,Ryan,Cox,bzimmerman@example.org,2023-11-20,East,social
99,Jessica,Sheppard,christina87@example.com,2023-11-18,South,organic
100,Ryan,Simon,marcus31@example.com,2023-05-15,East,organic
101,Nicole,Sanchez,qhudson@example.com,2023-03-16,North,paid_search
102,Matthew,Snyder,hunter35@example.com,2024-07-30,North,paid_search
103,Matthew,Beard,angela83@example.org,2023-08-07,Central,organic
104,John,Russell,hannahbrewer@example.com,2023-12-24,North,organic
105,Shane,Smith,jeffrey34@example.net,2024-01-14,East,email
106,Bonnie,Kennedy,ronald85@example.com,2024-07-10,East,organic
107,Jacqueline,Nelson,jerry35@example.org,2024-10-31,Central,social
108,Julia,Tapia,jamesrodgers@example.com,2024-07-21,East,organic
109,Jenny,Bray,tina34@example.org,2023-04-17,South,referral
110,Michael,Turner,joshuamccann@example.net,2023-04-20,Central,organic
111,Kelly,Raymond,agarcia@example.net,2023-10-16,Central,organic
112,Justin,Mendoza,jack04@example.com,2023-12-18,South,organic
113,Danny,Jones,ojones@example.net,2023-09-28,Central,social
114,Brian,Hernandez,christopher31@example.net,2023-02-22,North,paid_search
115,Kathy,Obrien,kimberlyjames@example.com,2023-10-11,North,social
116,Kenneth,Chapman,ntorres@example.org,2023-05-14,East,organic
117,Chelsea,Singh,colleenbaker@example.org,2024-03-28,Central,organic
118,Eric,Thompson,moorericky@example.net,2024-07-28,North,social
119,Brittney,Carter,keithcampbell@example.com,2024-12-08,South,organic
120,Charles,Hall,kristin93@example.com,2024-01-14,Central,paid_search
121,Danny,Walker,rebekahserrano@example.org,2024-03-16,South,social
122,Brian,Sparks,scott74@example.net,2024-01-09,North,organic
123,Richard,Nelson,mkim@example.org,2023-08-04,South,email
124,Pamela,Navarro,anthony39@example.net,2023-12-29,Central,social
125,Stephanie,Key,barbara27@example.net,2024-02-21,Central,email
126,Denise,Moon,wendygraham@example.com,2023-08-31,South,social
127,Tanya,Harrison,qcook@example.org,2023-07-01,West,referral
128,Mia,Rivera,zroberts@example.net,2023-12-07,West,organic
129,Benjamin,Miller,marcus68@example.org,2023-09-12,East,email
130,Diane,Daniels,hbrown@example.com,2024-12-19,North,organic
131,Cindy,Jimenez,nwolf@example.com,2023-02-09,West,paid_search
132,Andrea,Pennington,fgilmore@example.org,2024-04-16,East,organic
133,Anthony,Mccoy,jennifercollins@example.org,2023-08-22,South,paid_search
134,Andrea,Davis,murraydavid@example.org,2023-07-17,West,organic
135,Tyrone,Moran,robert77@example.org,2023-03-13,East,paid_search
136,Stephen,Thomas,sandraromero@example.org,2024-06-05,West,paid_search
137,Michelle,Hill,ymorgan@example.net,2024-07-03,East,social
138,Joseph,Smith,mary97@example.org,2023-04-29,East,referral
139,Sean,Washington,andrea86@example.com,2023-09-29,North,organic
140,Sarah,Kane,ashleyhall@example.com,2024-03-20,East,organic
141,Bradley,Garner,qhughes@example.net,2023-11-18,West,social
142,Tina,Simpson,martineztammy@example.com,2024-06-07,North,social
143,Molly,Sawyer,dgarcia@example.org,2024-08-13,South,paid_search
144,Jennifer,Ortiz,charlesharrington@example.com,2024-12-26,West,organic
145,Matthew,Schwartz,christianmelissa@example.net,2024-07-05,South,organic
146,Norman,Stewart,cbrennan@example.net,2023-03-13,East,paid_search
147,Casey,Welch,wendy16@example.org,2024-11-10,North,social
148,Kathleen,Padilla,wallaceheather@example.org,2023-11-04,Central,social
149,Brandon,Flynn,michael62@example.org,2024-02-23,East,paid_search
150,Amanda,Knight,georgemiller@example.com,2023-10-30,Central,paid_search
151,Christine,Allen,jesselittle@example.com,2024-03-06,West,organic
152,Jonathan,Smith,rsantana@example.net,2023-06-28,Central,social
153,Eric,Alexander,vanessa46@example.net,2024-02-20,Central,social
154,John,Bruce,yvonnecastaneda@example.org,2023-11-08,East,email
155,John,Armstrong,victoria40@example.net,2024-08-16,Central,organic
156,Randy,Smith,lozanojulie@example.com,2024-04-21,West,social
157,Kimberly,Hall,jeffery39@example.com,2023-08-07,Central,paid_search
158,Erica,Le,courtneyberger@example.net,2023-06-23,North,paid_search
159,Benjamin,Kramer,rileyjessica@example.org,2024-11-10,Central,organic
160,Renee,Murphy,ithompson@example.net,2023-08-29,East,paid_search
161,Nancy,Diaz,maria47@example.com,2023-07-23,South,organic
162,Julie,Morgan,mcdonaldcharles@example.org,2023-09-08,West,organic
163,Michelle,Ramsey,zcoffey@example.net,2023-03-16,West,social
164,Michael,Gibbs,bakerdavid@example.com,2024-10-06,Central,paid_search
165,Emily,Chambers,xcarson@example.org,2024-12-14,West,organic
166,Emily,Ruiz,rose31@example.net,2023-09-07,South,paid_search
167,Madison,Blankenship,debra12@example.org,2023-01-06,North,social
168,Sophia,Torres,pwilson@example.net,2023-08-13,South,email
169,Derek,Chavez,umatthews@example.org,2024-12-13,Central,email
170,Nicole,Pena,rgilbert@example.org,2024-07-24,South,paid_search
171,Hannah,Robinson,xsampson@example.org,2023-05-05,West,referral
172,Tina,Richardson,bruce43@example.org,2024-04-20,Central,organic
173,Stacy,Holloway,batesdarlene@example.net,2024-09-01,East,referral
174,Tasha,Williams,john29@example.org,2024-03-29,Central,referral
175,Casey,Hubbard,brendali@example.org,2024-05-31,West,email
176,Mark,Hernandez,ramireztracey@example.org,2024-07-15,West,email
177,Amber,Lindsey,guerreroanthony@example.org,2024-05-01,West,email
178,Michael,Kramer,alfred40@example.org,2023-09-11,East,organic
179,Judy,Fox,alvarezkimberly@example.net,2024-06-17,West,email
180,Brittney,Hayes,soniawilliams@example.net,2023-10-09,West,social
181,Adrienne,Ellis,browntimothy@example.com,2023-10-20,South,organic
182,Ronald,Rodriguez,fjones@example.com,2023-11-24,Central,organic
183,Charlene,Jones,claudia98@example.net,2023-06-04,South,organic
184,Mark,Vang,shawn96@example.org,2023-06-06,South,paid_search
185,Laura,Wilson,russellbeasley@example.com,2024-02-22,East,organic
186,Matthew,Chavez,ublair@example.com,2024-03-01,North,paid_search
187,Larry,Scott,gloriawells@example.org,2024-03-06,West,organic
188,Marie,Davis,garnernathan@example.org,2024-08-21,North,referral
189,Angela,Willis,elizabeth65@example.net,2024-08-12,West,email
190,Shelley,Henderson,schmittcaroline@example.com,2023-12-27,East,paid_search
191,Dale,Romero,dianewalker@example.org,2024-03-05,Central,email
192,Michael,Hawkins,farmeraudrey@example.com,2024-07-13,Central,social
193,Megan,Villegas,lynchdiane@example.net,2024-05-14,South,email
194,Joseph,White,sandra50@example.org,2024-05-12,North,organic
195,Molly,Knight,vjones@example.net,2024-11-15,West,paid_search
196,Teresa,Davis,nicholaschavez@example.org,2024-04-23,South,social
197,Mitchell,Griffith,wareeric@example.net,2024-06-30,North,referral
198,Brandon,Miller,fstanley@example.net,2024-08-29,Central,referral
199,Scott,Nelson,reeddaniel@example.net,2023-03-27,West,social
200,Erika,Tucker,brandon69@example.org,2024-04-17,South,organic
201,Adrian,Turner,katrinaduran@example.com,2024-01-24,East,organic
202,Mark,Smith,ythompson@example.net,2023-12-01,East,organic
203,Jane,Mason,charles06@example.org,2024-01-24,East,email
204,Steve,Miller,barbara96@example.net,2024-03-07,East,email
205,Danielle,Roberts,usmith@example.org,2024-04-26,North,email
206,Laurie,Montgomery,christopher13@example.com,2023-02-23,East,social
207,Brianna,Warren,vharrell@example.com,2023-03-12,North,organic
208,Jeffrey,Maxwell,dixondaniel@example.net,2023-09-11,South,email
209,James,Parsons,jessica23@example.org,2024-09-28,South,email
210,Dwayne,Gonzalez,kathleenrios@example.org,2024-04-29,North,organic
211,Stephanie,Burton,wwebster@example.net,2023-08-12,West,social
212,Shane,Glass,michelle52@example.com,2024-01-13,South,social
213,Carlos,Ramos,laura90@example.com,2023-04-28,South,social
214,William,Collins,xjohnson@example.com,2023-04-21,Central,referral
215,Chase,Lin,gilbertwilliam@example.com,2023-11-16,Central,organic
216,Betty,Best,colelisa@example.net,2024-01-20,West,social
217,Jacob,Jacobs,susanhayes@example.com,2023-07-23,North,referral
218,Toni,Miller,benjaminzimmerman@example.com,2024-10-04,South,social
219,Alexandria,Bishop,nathan46@example.com,2023-11-05,Central,organic
220,Kim,Shelton,mccormickdeborah@example.org,2024-08-02,North,email
221,Mark,Grant,umitchell@example.net,2024-03-14,East,paid_search
222,Tamara,Morrison,mathewaguilar@example.org,2024-10-25,East,organic
223,Sabrina,Collins,tanderson@example.org,2024-03-06,West,organic
224,Kyle,Bennett,lisa81@example.net,2024-01-06,West,organic
225,Ellen,Romero,coxhenry@example.org,2024-03-21,South,social
226,Matthew,Miranda,jeremytaylor@example.org,2024-10-28,East,social
227,Kenneth,French,stanleynancy@example.net,2024-07-05,West,social
228,David,Bennett,henryschwartz@example.net,2024-08-29,East,paid_search
229,Lisa,Martin,xwilliams@example.net,2023-09-09,North,paid_search
230,Jennifer,Montes,karen73@example.net,2024-04-06,South,organic
231,John,Sheppard,mmckee@example.com,2024-08-06,Central,email
232,Erika,Hudson,smurray@example.com,2023-12-11,North,social
233,Wesley,Barnes,lisasolis@example.org,2023-11-29,South,paid_search
234,Monique,Williams,jsawyer@example.org,2023-12-30,East,paid_search
235,Jennifer,Black,mitchellkathryn@example.com,2024-09-02,East,paid_search
236,Shannon,Palmer,odavis@example.com,2024-06-13,South,social
237,Nicole,Arias,gbrown@example.com,2024-02-21,West,organic
238,Joe,Vang,jeffrey51@example.net,2023-09-04,West,social
239,Debra,Moody,benjaminlowery@example.com,2024-05-17,West,social
240,Heather,Taylor,awest@example.org,2023-04-06,East,email
241,Andrew,Lewis,anaacosta@example.net,2024-12-09,South,organic
242,Rodney,Parsons,kevinwilliams@example.com,2024-08-18,East,paid_search
243,Danielle,Dean,rodriguezrebecca@example.net,2024-06-27,East,paid_search
244,Amanda,Chen,jennifercarter@example.org,2024-07-17,East,paid_search
245,Christina,Allen,qlopez@example.org,2024-04-09,East,paid_search
246,Alexandra,Ward,myerstheodore@example.net,2023-08-25,North,paid_search
247,Paul,Brooks,kellycarlos@example.org,2023-11-20,North,social
248,Jessica,Fuller,dennis58@example.com,2024-12-07,South,social
249,Lisa,Thompson,epollard@example.net,2024-05-10,East,organic
250,Ian,Taylor,mjohnson@example.org,2024-06-21,Central,social
251,Kylie,Blackwell,sarah86@example.net,2023-04-13,South,organic
252,Thomas,Johnson,justinatkins@example.org,2024-01-05,South,organic
253,Michelle,Rivera,lloydsamuel@example.com,2024-12-26,Central,paid_search
254,Julia,Kline,lmorgan@example.com,2023-02-16,North,organic
255,Heather,Richardson,laurie61@example.com,2024-12-15,South,social
256,Carrie,Short,manuel15@example.net,2024-05-17,North,social
257,Kenneth,Griffin,cjackson@example.com,2024-08-10,East,email
258,Sergio,Acosta,christina64@example.net,2024-03-27,East,paid_search
259,Tina,Gould,lambertrichard@example.net,2023-02-22,East,organic
260,Laurie,Shelton,thomascathy@example.com,2024-05-04,North,referral
261,Austin,Jones,michael90@example.net,2024-02-15,West,email
262,Eric,Cole,nathan19@example.org,2024-10-06,North,organic
263,Alyssa,Sanders,john10@example.net,2024-07-30,East,organic
264,Jacob,Holmes,greenjorge@example.com,2023-09-12,North,organic
265,Jason,Carr,igonzalez@example.org,2024-03-02,Central,social
266,Shannon,Roach,zosborn@example.net,2024-09-25,South,social
267,Tammy,Downs,jenna88@example.com,2024-01-25,West,email
268,Patricia,York,laurahicks@example.org,2023-11-01,Central,referral
269,Tracie,Conner,kristyjohnson@example.net,2023-11-09,Central,referral
270,Ashley,Mcdonald,cherylmiller@example.com,2024-09-16,North,social
271,Raymond,Love,xfox@example.com,2023-08-01,South,referral
272,Madeline,Jones,dawn77@example.net,2023-03-25,South,organic
273,Zachary,Anderson,katrinaanderson@example.net,2024-07-19,North,organic
274,Renee,Brown,holmeskevin@example.org,2024-02-23,West,organic
275,Marcus,Fletcher,stacey84@example.org,2024-04-26,East,social
276,John,Reid,david49@example.net,2023-10-23,East,organic
277,Clarence,Davidson,georgeweber@example.net,2024-04-09,North,social
278,Matthew,Bradshaw,bryananthony@example.org,2023-09-28,Central,social
279,Stacy,Wise,debra96@example.net,2023-07-22,West,social
280,Danielle,Jimenez,dawn47@example.org,2023-08-19,South,organic
281,Linda,Cohen,shawn02@example.com,2023-05-26,North,referral
282,Robert,Marshall,catherine55@example.net,2023-11-11,Central,organic
283,Vanessa,Reed,xanderson@example.net,2024-08-05,East,social
284,Anna,Flores,cmartinez@example.org,2024-04-24,East,paid_search
285,Donald,Williams,alin@example.org,2023-10-06,Central,social
286,Sydney,Barrera,sarah53@example.org,2024-03-24,North,paid_search
287,Tyrone,Robertson,fkoch@example.org,2024-03-18,East,social
288,Christopher,Long,nlevy@example.net,2023-01-27,North,social
289,Michael,Williams,pharper@example.net,2024-11-21,Central,organic
290,Thomas,Herrera,jordannicole@example.net,2023-01-22,East,social
291,Michael,Powell,moralesashley@example.org,2023-06-29,West,social
292,Michael,Roberts,wgordon@example.net,2024-03-28,East,paid_search
293,Joshua,Hays,andersoncolin@example.com,2024-08-22,West,organic
294,Laura,Morgan,kari39@example.net,2024-05-18,North,social
295,Richard,Williams,taylormason@example.com,2024-02-23,East,paid_search
296,April,Hernandez,markaustin@example.org,2023-04-18,South,paid_search
297,Phillip,Jensen,brittney88@example.net,2024-12-11,West,paid_search
298,Tracy,Hart,xcabrera@example.com,2024-02-15,Central,organic
299,Emily,Whitney,laura09@example.com,2023-04-01,East,organic
300,Joseph,Rios,jennifersilva@example.org,2023-04-29,West,organic
301,Alexandria,Griffith,rhernandez@example.org,2023-01-02,Central,email
302,Anthony,Vaughan,leescott@example.com,2023-02-25,South,paid_search
303,Edward,Vaughn,nshaw@example.com,2024-09-29,West,paid_search
304,Monique,Fitzgerald,thorntonapril@example.net,2023-02-22,South,social
305,Mark,Bates,ledwards@example.com,2023-05-15,East,organic
306,Rhonda,Peterson,erica49@example.com,2024-12-16,West,paid_search
307,James,Wright,jeffrey44@example.net,2024-10-07,Central,organic
308,Jared,Bush,timothy84@example.com,2024-12-27,South,email
309,David,Rhodes,zhuang@example.com,2023-01-15,Central,paid_search
310,Stephanie,Ballard,bobby15@example.com,2023-08-19,North,paid_search
311,Diana,Burgess,jamesryan@example.net,2023-05-01,South,paid_search
312,Heather,Taylor,johnsantiago@example.net,2023-10-26,Central,paid_search
313,Jeremiah,Hall,gutierrezjennifer@example.org,2024-03-01,West,social
314,Erin,Taylor,richarddonovan@example.com,2023-09-07,West,referral
315,Thomas,Gonzalez,manuel01@example.net,2024-01-28,South,social
316,Audrey,Nichols,gentrygregory@example.org,2024-06-04,South,referral
317,Sarah,Johnson,lfrench@example.net,2023-10-10,West,email
318,Suzanne,Howe,smithashley@example.org,2024-06-03,East,paid_search
319,Sarah,Rogers,ihays@example.net,2023-10-17,East,email
320,Troy,Mays,znelson@example.org,2024-08-16,West,email
321,Mark,Simon,jennifer05@example.com,2024-04-02,Central,email
322,Ashley,Todd,cherylfowler@example.com,2023-12-07,Central,paid_search
323,Margaret,Robertson,moralescody@example.org,2024-01-22,West,email
324,Thomas,Boyle,greenjoe@example.com,2023-07-13,South,referral
325,Stephanie,Turner,greenmichael@example.org,2023-08-28,West,social
326,Bryan,Wilson,erik84@example.net,2024-04-29,West,organic
327,David,Hendricks,michael33@example.org,2024-11-10,South,paid_search
328,Timothy,Gibson,robert87@example.net,2023-02-07,South,paid_search
329,Laurie,Petersen,erinlarson@example.org,2024-08-27,East,paid_search
330,Alicia,Rice,christian91@example.org,2024-03-26,North,email
331,Maria,Leach,ashleyhernandez@example.com,2024-04-12,North,paid_search
332,Melissa,Ramos,jenniferburns@example.net,2024-02-24,South,social
333,Sean,Brown,williambryant@example.org,2023-09-29,East,organic
334,Angelica,Chambers,jennifer64@example.org,2024-02-12,North,social
335,Julie,Lane,hendersonisabella@example.net,2024-11-21,Central,email
336,Virginia,Michael,andersenthomas@example.com,2023-11-21,West,paid_search
337,Robert,Mack,ybrooks@example.com,2023-02-06,Central,email
338,Molly,Knox,qmiller@example.net,2024-10-08,East,organic
339,Dean,Dalton,whiteamanda@example.net,2023-04-03,West,referral
340,David,Irwin,avilatiffany@example.com,2024-10-10,North,referral
341,Emily,Stephens,pmorrow@example.com,2024-12-11,East,paid_search
342,Michael,Hill,johnsondonna@example.net,2023-02-17,East,referral
343,Katie,Stephenson,allencarlos@example.net,2023-10-28,East,email
344,Arthur,Harper,sanchezbradley@example.com,2023-05-30,South,paid_search
345,Jimmy,Robinson,taylorvictoria@example.org,2024-08-02,South,paid_search
346,Lisa,Dennis,barbara53@example.com,2023-03-22,Central,organic
347,Nancy,Odom,roberthill@example.net,2024-09-26,South,email
348,Stacy,Hobbs,conniesimmons@example.com,2024-08-20,South,paid_search
349,Brandon,Cooper,ufloyd@example.net,2024-10-15,East,organic
350,Robert,Hernandez,iwhite@example.com,2024-11-13,North,paid_search
351,John,Perez,lindamelendez@example.net,2024-04-21,East,email
352,Robert,Butler,paulscott@example.com,2023-06-11,North,social
353,Deborah,Nielsen,christopher30@example.com,2023-12-20,Central,paid_search
354,Nicholas,Jacobs,russojacob@example.net,2024-03-10,East,organic
355,Jennifer,Hansen,vclark@example.com,2023-11-06,South,paid_search
356,Susan,Smith,suzannewilson@example.com,2024-05-09,North,referral
357,Robin,Dominguez,randyallen@example.com,2024-08-08,East,organic
358,Kimberly,James,kyle58@example.com,2024-12-17,East,social
359,Steven,Lang,ugill@example.org,2024-11-05,West,organic
360,Nathan,Gutierrez,joycesmith@example.net,2024-08-02,North,organic
361,Sarah,Riley,mphillips@example.com,2024-05-23,East,referral
362,Jerry,Hudson,victorpena@example.net,2023-08-24,Central,email
363,Matthew,Hines,plevy@example.net,2023-08-13,South,email
364,Tracy,Jackson,gary87@example.org,2024-11-25,South,social
365,Sabrina,Weaver,warrenmary@example.org,2024-10-04,North,social
366,Sierra,Barnett,gutierrezmegan@example.org,2024-03-27,North,paid_search
367,Carlos,Hernandez,williambrooks@example.net,2023-05-15,North,social
368,Dana,Peck,bhopkins@example.org,2023-12-01,West,referral
369,Amanda,Jenkins,morenojoshua@example.com,2023-05-16,Central,organic
370,Andre,Li,ldrake@example.org,2024-01-10,Central,email
371,Samantha,Warren,jamesfox@example.com,2023-10-07,South,paid_search
372,Joseph,Sanders,susan79@example.org,2024-05-08,East,organic
373,Veronica,Perez,valdezmichele@example.org,2023-12-13,North,social
374,Clayton,Gray,abrown@example.net,2023-03-19,South,paid_search
375,George,Porter,vnewman@example.net,2023-08-20,West,email
376,Tiffany,Dickson,hallrachel@example.net,2024-07-24,East,referral
377,Paige,Alvarez,glassgabrielle@example.com,2024-02-09,North,organic
378,Rachel,Elliott,whitemelissa@example.org,2023-05-07,West,organic
379,Suzanne,Matthews,thickman@example.org,2024-11-19,East,paid_search
380,Anne,Knight,irhodes@example.com,2024-10-15,East,social
381,Patrick,Singh,masonterri@example.org,2023-08-28,West,organic
382,Connor,Hall,petersonkayla@example.net,2024-07-28,East,organic
383,Randy,Ayala,walterskristen@example.com,2023-08-15,North,referral
384,Tracy,Kelly,rreynolds@example.net,2024-04-20,East,social
385,Donna,Miller,lauren11@example.com,2023-04-30,South,social
386,Eric,Dawson,jodistewart@example.org,2023-02-08,East,organic
387,Christopher,Hahn,rward@example.org,2023-04-29,North,referral
388,David,Lopez,ghawkins@example.com,2024-07-04,South,organic
389,Dakota,Davis,carlsonkristen@example.com,2024-01-15,Central,paid_search
390,Alexander,Gutierrez,hardyanita@example.org,2023-06-08,West,paid_search
391,Ashley,Jackson,rjackson@example.com,2024-05-16,Central,social
392,Joseph,Thomas,ryanfisher@example.com,2023-10-14,North,paid_search
393,Kirsten,Ward,jennifersimpson@example.net,2023-08-11,West,social
394,James,Rodriguez,adam65@example.net,2023-08-30,East,paid_search
395,Noah,Atkins,pcook@example.net,2024-12-03,East,organic
396,Derek,Flores,timothythompson@example.com,2024-10-22,East,paid_search
397,Tanya,Carter,yfaulkner@example.org,2023-10-10,South,organic
398,Mark,Ramirez,kdiaz@example.org,2024-04-10,North,referral
399,Brittany,Gardner,bentonsteven@example.net,2024-10-19,Central,social
400,Jason,Salinas,fuenteslaura@example.com,2023-02-21,East,referral
401,Emily,Taylor,john26@example.com,2023-05-09,Central,organic
402,Charles,Ewing,iaguilar@example.net,2024-07-21,South,organic
403,Sandra,Kane,ystephens@example.com,2023-08-27,East,social
404,Jacqueline,Burnett,rodriguezjohn@example.net,2024-09-02,North,email
405,Michael,Holland,hartdeanna@example.net,2023-05-29,South,organic
406,Reginald,Goodwin,grodriguez@example.com,2023-06-28,North,paid_search
407,Jeffrey,Burgess,seanmyers@example.net,2023-01-27,South,social
408,Brianna,Mason,whitney71@example.com,2023-09-01,Central,organic
409,Robert,Nixon,guerrajessica@example.com,2023-06-28,East,paid_search
410,Larry,Gibson,adrianabailey@example.org,2024-03-07,Central,organic
411,Samuel,Horton,carlos01@example.org,2023-03-07,West,organic
412,Melinda,Wong,sarahyang@example.net,2024-01-06,Central,paid_search
413,Greg,Moore,omullen@example.com,2024-04-07,Central,social
414,Crystal,Lopez,vfoster@example.net,2024-09-21,North,organic
415,Nicole,Cole,tprice@example.org,2024-11-05,Central,social
416,Jamie,Goodwin,raylauren@example.net,2024-10-20,North,paid_search
417,Jacob,Nguyen,qwilson@example.com,2024-05-05,West,organic
418,Allison,Fowler,lcarr@example.org,2023-04-21,West,paid_search
